slug,canonical_title,skills,education,selection_process,salary_min,salary_max,industry,sub_sector,category,demand_count,raw_title_count,source
accountant,Accountant,Accounting; Communication; Tally; Computer Knowledge; MS Excel; Typing; English Proficiency; Sales; Banking; Interpersonal Skills; Documentation; Data Entry,Any Graduate,Interview,150000,240000,BFSI,IT,Banking and Finance,183,14,taf
back-office-executive,Back Office Executive,Communication; Typing; MS Office; Computer Knowledge; Sales; MS Excel; English Proficiency; Data Entry; Accounting; Presentation Skills; CRM; Hindi,12th standard,PI,170000,225000,BFSI,BFSI,Banking and Finance,172,15,taf
sales-officer,Sales Officer,Communication; Sales; Interpersonal Skills; English Proficiency; Banking; Hindi; Computer Knowledge; Convincing Skills; Local Language; Lead Generation; Customer Service; Marketing,Any Graduate,Interview,200000,210000,BFSI,BFSI,Banking and Finance,151,23,taf
business-development-executive,Business Development Executive,Communication; Sales; Typing; Presentation Skills; Convincing Skills; English Proficiency; Interpersonal Skills; Lead Generation; Problem Solving; Marketing; Banking; Customer Service,Any Graduate,F2F Interview,220000,260000,BFSI,BFSI,Sales and Marketing,140,20,taf
customer-support-executive,Customer Support Executive,Communication; English Proficiency; Hindi; Customer Service; Problem Solving; Computer Knowledge; Time Management; Adaptability; MS Excel; Convincing Skills; CRM; Multitasking,Any Graduate,Face to Face,200000,250000,BFSI,BFSI,IT/ITES,132,12,taf
office-assistant,Office Assistant,Communication; Computer Knowledge; Interpersonal Skills; Typing; MS Office; Customer Service; Accounting; English Proficiency; Documentation; Problem Solving; Teamwork; Sales,12th standard,Interview,,,BFSI,service,,130,16,taf
marketing-executive,Marketing Executive,Communication; Sales; Marketing; English Proficiency; Convincing Skills; Hindi; Computer Knowledge; Lead Generation; Banking; Customer Service; Problem Solving; Interpersonal Skills,12th standard,Face to face,120000,155000,BFSI,Sales & Marketing,Sales and Marketing,121,18,taf
branch-relationship-executive,Branch Relationship Executive,Communication; Sales; Banking; Convincing Skills; English Proficiency; Hindi; Interpersonal Skills; Negotiation; CRM; Marketing; Local Language; Problem Solving,12th standard,Interview,200000,250000,BFSI,BFSI,Banking and Finance,115,14,taf
relationship-officer,Relationship Officer,Communication; Banking; Sales; Interpersonal Skills; English Proficiency; Convincing Skills; Presentation Skills; Problem Solving; Negotiation; Hindi; Adaptability; CRM,12th standard,Interview,200000,250000,BFSI,BFSI,Banking and Finance,113,20,taf
teacher,Teacher,Communication; Presentation Skills; Computer Knowledge; English Proficiency; Sales; MS Excel; MS Office; Interpersonal Skills; Local Language,Any Graduate,Direct Interview,,,BFSI,Education,,112,7,taf
data-analyst,Data Analyst,Communication; Analytical Skills; MS Excel; Problem Solving; English Proficiency; Typing; Interpersonal Skills; MS Office; Sales; Data Entry; Accounting; Adaptability,B.Tech/B.E,"Aptitude, Face to Face, Group Discussion,HR round",250000,350000,IT,IT,Technology,112,21,taf
sales-consultant,Sales Consultant,Sales; Communication; Interpersonal Skills; English Proficiency; Presentation Skills; Computer Knowledge; Telecalling; Convincing Skills; MS Excel; Negotiation; Data Entry; Hindi,12th standard,P.I.,200000,250000,Retail,Retail,Retail,104,9,taf
receptionist,Receptionist,Communication; Computer Knowledge; English Proficiency; Customer Service; Marketing; Interpersonal Skills; Local Language; Sales; MS Office; Hindi; Convincing Skills; Typing,12th standard,Interview,,,IT,Retail,,103,5,taf
accounts-executive,Accounts Executive,Accounting; Communication; Tally; MS Excel; Computer Knowledge; Presentation Skills; Interpersonal Skills; Banking; Billing; MS Office; Analytical Skills; Problem Solving,B.Com,"Aptitude, Face to Face",170000,300000,BFSI,BFSI,Banking and Finance,88,15,taf
process-associate,Process Associate,Communication; Typing; English Proficiency; Interpersonal Skills; Adaptability; Analytical Skills; Teamwork; Sales; MS Office; Customer Service; Computer Knowledge; Hindi,Any Graduate,Interview,150000,260000,BFSI,BFSI,Technology,85,14,taf
technician,Technician,Communication; Interpersonal Skills; Teamwork; Computer Knowledge; Typing,Any Graduate,mobile knowledge,290000,300000,Service,service,Logistics,82,10,taf
system-operator,System Operator,Communication; Interpersonal Skills; Typing; Computer Knowledge; MS Excel; English Proficiency; Sales,Any Graduate,Face to face interview,,,BFSI,BFSI,,79,4,taf
relationship-manager,Relationship Manager,Communication; Sales; English Proficiency; Convincing Skills; Interpersonal Skills; Insurance; Problem Solving; Adaptability; Banking; Hindi; Networking; CRM,Any Graduate,Interview,180000,240000,BFSI,BFSI,Banking and Finance,77,18,taf
java-developer,Java Developer,Communication; Analytical Skills; Problem Solving; Banking; Interpersonal Skills; Documentation; Presentation Skills,B.Tech/B.E,"Screening round, Aptitude test, Final round",250000,350000,IT,IT,Technology,75,17,taf
cashier,Cashier,Communication; Customer Service; Accounting; Computer Knowledge; Interpersonal Skills; Billing; MS Office; Sales; Tally; Time Management; Presentation Skills; Local Language,12th standard,Interview,190000,270000,BFSI,BFSI,Banking and Finance,72,3,taf
front-office-associate,Front Office Associate,Communication; Computer Knowledge; Customer Service; Convincing Skills; English Proficiency; MS Excel; Sales; Adaptability; Interpersonal Skills,12th standard,Face to Face,,,Hospitality,Hospitality,,61,10,taf
supervisor,Supervisor,Communication; Computer Knowledge; Typing; Sales; Interpersonal Skills; MS Office; Documentation; Negotiation; Accounting; Customer Service; Local Language,12th standard,PI,,,BFSI,Retail,,56,5,taf
sales-promoter,Sales Promoter,Communication; Sales; Marketing; Interpersonal Skills; Hindi; English Proficiency; Convincing Skills; Computer Knowledge; Customer Service; Teamwork,12th standard,Interview,,,Retail,Retail,,56,10,taf
bre,Bre,Communication; Sales; English Proficiency; Marketing; Hindi; Interpersonal Skills; MS Excel; Typing; Computer Knowledge; Banking,12th standard,Face to face,,,BFSI,BFSI,,52,6,taf
account-assistant,Account Assistant,Accounting; Tally; MS Excel; Computer Knowledge; Banking; Communication; Marketing; Sales; Insurance; Data Entry; Typing,B.Com,1.Interview. 2. Demo Tally and Excel.,140000,200000,BFSI,BFSI,Banking and Finance,52,6,taf
tele-calling-executive,Tele Calling Executive,Communication; English Proficiency; Sales; Hindi; Convincing Skills; Typing; Computer Knowledge; Telecalling; Interpersonal Skills; Banking; Problem Solving; Windows OS,12th standard,face to face Interview,250000,300000,BFSI,BFSI,Sales and Marketing,48,14,taf
customer-relationship-executive,Customer Relationship Executive,Communication; Sales; Banking; Hindi; Computer Knowledge; English Proficiency; Interpersonal Skills; Negotiation; Typing,12th standard,Interview,120000,140000,BFSI,BFSI,Sales and Marketing,45,6,taf
software-developer,Software Developer,Communication; Analytical Skills; English Proficiency; Problem Solving; Time Management; Teamwork; Interpersonal Skills,B.Tech/B.E,Online Test and Face to Face Video Interviews,200000,400000,IT,IT,Technology,44,11,taf
customer-support-associate,Customer Support Associate,Communication; English Proficiency; Problem Solving; Hindi; Customer Service; Data Entry; Time Management; Sales; Computer Knowledge; Convincing Skills; Adaptability; Teamwork,Any Graduate,Virtual Mode,180000,250000,BFSI,BFSI & CRM,IT/ITES,43,9,taf
paint-applicator,Paint Applicator,Communication; Local Language,10th standard,Practical,,,Retail,Construction,,40,1,taf
counsellor,Counsellor,Communication; Computer Knowledge; Sales; English Proficiency; Local Language; Negotiation; Typing; Data Entry; Convincing Skills; Marketing,Any Graduate,PI,,,BFSI,Service,,40,7,taf
sales-exe,Sales Exe,Interpersonal Skills; Teamwork; Computer Knowledge; Communication; Typing; Problem Solving; Banking; Sales,12th standard,Interview,150000,240000,IT,service,Banking and Finance,39,13,taf
front-office-executive,Front Office Executive,Communication; English Proficiency; Computer Knowledge; Hindi; Problem Solving; Typing,12th standard,Face to Face,,,Hospitality,Admin & Back Office,,38,9,taf
csr,Csr,Communication; Computer Knowledge; Sales; English Proficiency; Customer Service; Typing; Convincing Skills; Hindi,12th standard,2 rounds HR and Operation round,230000,250000,BFSI,BPO,Technology,37,1,taf
painter,Painter,,< 8th standard,Face to Face interview on Construction Site,,,Service,Paint,,37,2,taf
operation-executive,Operation Executive,Communication; MS Excel; Sales; Accounting; Data Entry; Hindi; Telecalling; Convincing Skills; Analytical Skills; Computer Knowledge; Time Management; English Proficiency,12th standard,1) Online Aptitude Test. 2) Technical Assessment. 3) HR Round.,240000,270000,BFSI,Operation Executive,IT/ITES,36,12,taf
tech-support,Tech Support,Communication; Problem Solving; Customer Service; Hardware Troubleshooting; Documentation; Multitasking; Adaptability; MS Excel; MS Word; English Proficiency; Time Management; CRM,B.Tech/B.E,HR ROund Tech ROund,250000,300000,IT,IT,IT/ITES,34,6,taf
relationship-executives,Relationship Executives,Communication; Sales; MS Office; Local Language,12th standard,F2F (Direct) / Virtual (During lockdown),,,BFSI,BFSI,,32,2,taf
process-executive,Process Executive,Communication; English Proficiency; Analytical Skills; Accounting; Interpersonal Skills; Typing; Sales; Time Management; Insurance; Customer Service; Banking; Computer Knowledge,Any Graduate,Face to Face,185000,210000,BFSI,IT,IT/ITES,32,10,taf
technical-support-associate,Technical Support Associate,Communication; Problem Solving; Networking; Hardware Troubleshooting; Customer Service; English Proficiency; Analytical Skills; Interpersonal Skills; Windows OS; Computer Knowledge; Adaptability; Hindi,Any Graduate,interview,250000,340000,IT,IT-Tech Support,IT/ITES,32,10,taf
delivery-executive,Delivery Executive,Communication; Interpersonal Skills; Customer Service; Time Management; Marketing; Typing; Computer Knowledge; Sales,12th standard,Face to Face interview,,,Retail,Retail,,29,5,taf
salesmen,Salesmen,Hindi; English Proficiency; Communication; Sales; Local Language,10th standard,Face To Face,,,Retail,Retail,,28,1,taf
collection-executive,Collection Executive,Communication; English Proficiency; Computer Knowledge; Hindi; Sales; Interpersonal Skills; Adaptability; Customer Service; Banking; Local Language; Typing; Presentation Skills,12th standard,PI,,,BFSI,Sales & Marketing,,27,3,taf
team-member,Team Member,Communication; English Proficiency; Sales; Customer Service; Computer Knowledge; Billing; Tally; Accounting; Convincing Skills; MS Excel; Hindi; Interpersonal Skills,12th standard,PI,,,Retail,Retail,,26,4,taf
cro,Cro,Communication; Hindi; English Proficiency; Typing; Customer Service; Interpersonal Skills; Banking,12th standard,Face to Face,,,BFSI,BFSI,,26,4,taf
agent-call-center,Agent Call Center,Communication; Computer Knowledge; English Proficiency; Local Language; Hindi; Banking; Data Entry; Typing,12th standard,HR Round – Ops Round – Client Round,,,IT,BPO,,26,10,taf
web-developer,Web Developer,Analytical Skills; Communication; Hardware Troubleshooting,B.Tech/B.E,Zoom meeting,100000,200000,IT,IT,Technology,25,4,taf
office-staff,Office Staff,Interpersonal Skills; Computer Knowledge; Communication; MS Excel; Data Entry; Tally; Accounting; English Proficiency,12th standard,Interview,,,IT,service,,25,6,taf
office-asst,Office Asst,Interpersonal Skills; Computer Knowledge; Communication; MS Excel; Accounting,12th standard,Interview,,,IT,service,,25,9,taf
self-employed,Self Employed,Communication; Sales; Customer Service,Any Graduate,PI,,,BFSI,BFSI,,25,5,taf
business-associate,Business Associate,Communication; Negotiation; Analytical Skills; Hindi; Convincing Skills; Computer Knowledge; Interpersonal Skills; MS Office; Marketing; Typing; Presentation Skills; English Proficiency,Any Graduate,Communication RoundHr Round,240000,290000,BFSI,BFSI,Sales and Marketing,25,4,taf
sales-manager,Sales Manager,Communication; Sales; Interpersonal Skills; Negotiation; Problem Solving; Time Management; Insurance; Leadership; Analytical Skills; Marketing; Banking; English Proficiency,Any Graduate,Interview,300000,340000,BFSI,BFSI,Banking and Finance,24,6,taf
customer-care-associate,Customer Care Associate,Communication; English Proficiency; Sales; Customer Service; Typing; Adaptability; Hindi; Analytical Skills; Convincing Skills; Computer Knowledge; Time Management; Windows OS,12th standard,hr /operations / online test,215000,290000,BFSI,BPO,IT/ITES,23,5,taf
mis-executive,Mis Executive,Communication; MS Excel; Presentation Skills; Analytical Skills; Sales; Computer Knowledge; Data Entry; Problem Solving; Typing; Accounting; MS Word,Any Graduate,Communication RoundHr Round,215000,280000,BFSI,IT,Technology,21,6,taf
crm,Crm,Communication; Typing; Sales; Convincing Skills; Customer Service; CRM,Any Graduate,"personal Interview, 2 rounds",,,BFSI,BFSI,,21,2,taf
f-b-housekeeping,F B Housekeeping,Communication,12th standard,P.I,,,Hospitality,FOA,,21,2,taf
tally-operator,Tally Operator,Tally; MS Office; Communication; MS Excel; Interpersonal Skills; Accounting; Computer Knowledge; Problem Solving; Documentation,Any Graduate,INTERVIEW,,,Service,BFSI,,20,2,taf
billing-exe,Billing Exe,Computer Knowledge; Interpersonal Skills; Typing,12th standard,Interview,,,IT,service,,20,3,taf
sales-person,Sales Person,Communication; Sales; Customer Service; Accounting,Any Graduate,1 face to face interview,,,IT,Retail,,20,2,taf
cust-care-exe,Cust Care Exe,Interpersonal Skills; Communication; Computer Knowledge; Teamwork,12th standard,Interview,,,IT,service,,19,5,taf
owner,Owner,Sales; Marketing; Communication; Networking,12th standard,PI,,,BFSI,BFSI,,18,2,taf
operation-associate,Operation Associate,Communication; Analytical Skills; Customer Service; Inventory Management; English Proficiency; Adaptability; Billing; Convincing Skills,Any Graduate,F2F,,,BFSI,IT,,18,6,taf
voice-process,Voice Process,Communication; English Proficiency; Hindi; Customer Service; Sales; Problem Solving; Interpersonal Skills; Adaptability; Typing,Any Graduate,Hr round and Manager round,180000,240000,BFSI,BPO,Banking and Finance,18,12,taf
business-development-manager,Business Development Manager,Communication; Sales; Banking; Convincing Skills; Customer Service; Teamwork; Local Language; Negotiation,Any Graduate,Face to face interview,220000,330000,BFSI,Banking,Banking and Finance,16,3,taf
bpo,Bpo,Communication; Customer Service; Problem Solving; Typing; CRM,Any Graduate,communicationteam leaderHR,170000,200000,BFSI,BFSI,Banking and Finance,16,3,taf
business-development-officer,Business Development Officer,Communication; Sales,12th standard,Interview,,,BFSI,Date entry,,16,3,taf
beauty-advisor,Beauty Advisor,Communication; Sales; Hindi; English Proficiency; Convincing Skills; MS Office; Adaptability; Insurance,12th standard,"face to face ,",,,BFSI,Fashion,,16,4,taf
admin,Admin,Communication; Typing; Telecalling; English Proficiency; MS Excel; Customer Service; Presentation Skills,Any Graduate,3 rounds,,,BFSI,Service,,16,5,taf
customer-service-representativ,Customer Service Representativ,Communication; Customer Service; English Proficiency; Convincing Skills; Computer Knowledge; Local Language; Hindi,Any Graduate,Assessement TestHR RoundPanel Round,180000,180000,BFSI,Sales & Marketing,Banking and Finance,15,3,taf
test-engineer,Test Engineer,Communication; Analytical Skills; Adaptability; Problem Solving,B.Tech/B.E,1. Aptitude 2. Technical discussion with panel,190000,250000,IT,IT,Technology,15,4,taf
tele-sales,Tele Sales,Communication; English Proficiency; Sales; Computer Knowledge; Typing; Local Language,12th standard,PI,120000,150000,BFSI,Education Sector,Sales and Marketing,14,5,taf
hr-executive,Hr Executive,Communication; English Proficiency; Hindi,Any Graduate,Face to face 3 rounds,135000,165000,IT,HR & Recruitment Solutions,IT/ITES,14,8,taf
sales-representative,Sales Representative,Communication; Presentation Skills; Computer Knowledge; English Proficiency; Sales; Local Language,10th standard,Interview,,,Retail,Retail,,14,2,taf
date-entry-operater,Date Entry Operater,,12th standard,,,,IT,Date entry Operater,,14,1,taf
tele-marketing-executives,Tele Marketing Executives,Communication; Hindi; English Proficiency; Convincing Skills; Banking; Insurance; Negotiation,12th standard,"Telephonic round of interview, Face to face round",,,BFSI,Sales & Marketing,,14,5,taf
field-executive,Field Executive,Communication; Sales; Computer Knowledge; Telecalling; Convincing Skills; Local Language,12th standard,Face to face interview,,,BFSI,Retail,,13,3,taf
service-engineer,Service Engineer,Problem Solving; Hardware Troubleshooting; Communication; Documentation; Networking; Sales; Computer Knowledge,Any Graduate,PI Technical Round,,,Service,Service,,13,6,taf
foa,Foa,Communication; Customer Service,Any Graduate,2 P.I. rounds,,,Hospitality,Office,,13,1,taf
cust-care-associate,Cust Care Associate,Communication; Interpersonal Skills; Typing,12th standard,Interview,,,IT,service,,13,5,taf
telecallers,Telecallers,Communication; Typing; English Proficiency; Interpersonal Skills; Negotiation; Hindi,12th standard,Online Communication RoundF2F Hr Round,160000,205000,IT,IT,Retail,12,3,taf
collection-officer,Collection Officer,Communication; Negotiation; Customer Service; Time Management; Sales; Accounting; Presentation Skills,Any Graduate,Manager and HR round,190000,210000,BFSI,Collections,Banking and Finance,12,3,taf
self-placed,Self Placed,Communication,12th standard,Self placed,,,IT,Skill Development,,12,4,taf
relationship-exe,Relationship Exe,Interpersonal Skills; Communication; Sales; Computer Knowledge,12th standard,Interview,,,BFSI,service,,12,1,taf
credit-officer,Credit Officer,Communication; Customer Service; Analytical Skills; Adaptability; Sales; Marketing; English Proficiency; Computer Knowledge; Teamwork; Interpersonal Skills,12th standard,Face to face HR,,,BFSI,BFSI,,12,4,taf
cloud-infra-engineer,Cloud Infra Engineer,Communication; Problem Solving; Networking; Adaptability,B.Tech/B.E,"HR Round, Tech round, Group discussion",250000,500000,IT,IT,,12,2,taf
stack-developer,Stack Developer,Problem Solving; Communication; Analytical Skills; Teamwork; Interpersonal Skills,B.Tech/B.E,Face to Fcae,240000,320000,Technology,Advance IT,Technology,11,3,taf
technical-support-engineer,Technical Support Engineer,Communication; Adaptability; Customer Service; Teamwork; Problem Solving; Time Management; Windows OS; Insurance; Hindi,B.Tech/B.E,Face to Face,230000,270000,Technology,IT-Tech Support,IT/ITES,11,1,taf
financial-analyst,Financial Analyst,Communication; Banking; Analytical Skills; MS Excel; MS Office; Presentation Skills; English Proficiency; Typing; Adaptability; Convincing Skills; Data Entry; Insurance,Any Graduate,HR Screening.Discussion with Business Head.,220000,345000,BFSI,BFSI,Banking and Finance,11,4,taf
python-developer,Python Developer,Problem Solving; Analytical Skills; Communication; Time Management; Teamwork,B.Tech/B.E,Aptitude TestTechnical Test Project RoundHr Round,220000,250000,Technology,Python Developer,Technology,11,4,taf
management,Management,Communication; Sales; Data Entry,Any Graduate,1st Round - Coding Test2nd Round - Technical Interview3rd Round - Hiring Manager Interview4th Round - HR Round,300000,600000,BFSI,BFSI,Technology,11,4,taf
